Tweet ,Emotion
"""No NFC in the iPhone 5 at #SXSW due to Apple's standardization confusion. Meanwhile, Android users get it. #iPhone5Lagging #NotImpressed""",Negative
"""Barry Diller's not holding back, openly criticizing Apple. Wants us to grab pitchforks against the company at #SXSW. #BarryDillerVsApple""",Negative
"""Realized my iPad may not be enough for #SXSW. It's not as versatile as a laptop. Apple, why are you limiting us? #iPadNotEnough #Disappointed""",Negative
"""Kara Swisher calls Apple the most stylish fascist company in America at #SXSW. Ouch, Apple! Not the best reputation. #AppleFascism #SXSWCritique""",Negative
"""Overheard at #SXSW: Apple, the most elegant fascist company in America. Quite a title! #Flipboard #AppleCritique #SXSW2011""",Negative
"""Choosing LA over #SXSW because my AT&amp;T iPhone is about as useful as a brick in Austin. Thanks, Apple, for poor service! #iPhoneServiceFail""",Negative
"""The novelty of iPad news apps fades fast among digital delegates at #SXSW. #iPadNewsAppsFail #Unimpressed #SXSW2011""",Negative
"""Why does Barry Diller think iPad-only content is nuts at #SXSW? Apple's limitations are becoming evident. #BarryDillerCritique #iPadLimitations""",Negative
"""The novelty of #iPad news #apps fades fast among digital delegates at #SXSW. NYT's Aron Pilhofer and Khoi Vinh discuss. #iPadNewsAppFail #SXSWMedia""",Negative
"""Taking photos with an iPad 2 looks plain stupid, guys! It's not a camera. #iPadPhotographyFail #NotImpressed #SXSW""",Negative
"""Just got the latest iPhone update, and it's another disaster. Bugs everywhere! #iPhoneUpdateFail #Unreliable""",Negative
"""The iPad's battery life is worse than my ancient phone. What a letdown! #iPadBatteryLifeFail #Disappointed""",Negative
"""Apple's innovation is just hype. The latest iPhone has nothing groundbreaking. #iPhoneInnovationLacking #NotImpressed""",Negative
"""At #SXSW, realized that the iPad's camera is laughable compared to others. Apple, step up your game! #iPadCameraFail #Underwhelming""",Negative
"""Why does Apple think removing the headphone jack was a good idea? It's just annoying! #iPhoneHeadphoneJackFail #AnnoyedUser""",Negative
"""Just spent a fortune on a MacBook, and it's already slow and glitchy. #MacBookProblems #RegretfulPurchase""",Negative
"""Every new Apple product is just a minor upgrade from the previous one. #AppleRepetition #LackOfInnovation""",Negative
"""My iPhone keeps freezing, even after multiple updates. Fix your bugs, Apple! #iPhoneFreezing #Unreliable""",Negative
"""Apple's customer service is as helpful as a brick wall. No support at all. #AppleSupportFail #FrustratedUser""",Negative
"""No practical use for my iPad at #SXSW. It's more like an expensive paperweight. #iPadUselessness #WasteOfMoney""",Negative
"""Apple's 'innovation' is just gimmicks and empty promises. Nothing game-changing. #AppleGimmicks #EmptyPromises""",Negative
"""Apple products are overpriced for what they offer. Better alternatives out there. #AppleOverpriced #NotWorthIt""",Negative
"""The iPad's battery drains faster than I can blink. Not impressed! #iPadBatteryDrain #Disappointed""",Negative
"""New iPhone update, same old bugs. Apple never learns. #iPhoneUpdateProblems #AppleBugs""",Negative
"""Apple's products are overrated. They don't live up to the hype. #AppleOverrated #NotImpressed""",Negative
"""My MacBook feels like a brick to carry around. Heavy and inconvenient. #MacBookWeight #NotPractical""",Negative
"""Apple's latest iPhone camera is worse than cheap Android phones. Disappointed! #iPhoneCameraQuality #Underwhelming""",Negative
"""Apple's 'innovative' features are just gimmicks in disguise. #AppleGimmicks #NotImpressed""",Negative
"""My iPad struggles to handle simple tasks. It's supposed to be top-notch? #iPadPerformanceIssues #NotImpressed""",Negative
"""Apple's laptops are not as durable as they claim. Screen cracked too easily. #MacBookDurability #Fragile""",Negative
"""Apple's software updates always bring new problems. #AppleUpdateFail #Unreliable""",Negative
"""Why does the iPhone still have such a tiny screen? It's impractical! #iPhoneScreenSizeFail #AnnoyedUser""",Negative
"""Just got the latest iPhone, and it's already outdated. Apple releases new ones too quickly! #iPhoneObsolete #RegretfulPurchase""",Negative
"""The iPad's speakers sound worse than a toy. #iPadSpeakerQuality #Unsatisfied""",Negative
"""Apple's customer service is as helpful as a brick wall. No support at all. #AppleSupportFail #FrustratedUser""",Negative
"""Apple's products are overpriced for what they offer. Better alternatives out there. #AppleOverpriced #NotWorthIt""",Negative
"""The iPad's battery drains faster than I can blink",Negative
